
16777216 bytes (17 MB, 16 MiB) copied, 2 s, 8.6 MB/s
25165824 bytes (25 MB, 24 MiB) copied, 3 s, 8.5 MB/s
33554432 bytes (34 MB, 32 MiB) copied, 4 s, 9.2 MB/s
41943040 bytes (42 MB, 40 MiB) copied, 4 s, 9.9 MB/s
58720256 bytes (59 MB, 56 MiB) copied, 5 s, 10.9 MB/s
67108864 bytes (67 MB, 64 MiB) copied, 6 s, 11.2 MB/s
83886080 bytes (84 MB, 80 MiB) copied, 7 s, 11.7 MB/s
100663296 bytes (101 MB, 96 MiB) copied, 9 s, 11.7 MB/s
109051904 bytes (109 MB, 104 MiB) copied, 9 s, 11.6 MB/s
117440512 bytes (117 MB, 112 MiB) copied, 10 s, 11.3 MB/s
125829120 bytes (126 MB, 120 MiB) copied, 11 s, 11.1 MB/s
134217728 bytes (134 MB, 128 MiB) copied, 12 s, 10.8 MB/s
142606336 bytes (143 MB, 136 MiB) copied, 13 s, 10.6 MB/s
150994944 bytes (151 MB, 144 MiB) copied, 14 s, 10.4 MB/s
159383552 bytes (159 MB, 152 MiB) copied, 16 s, 10.3 MB/s
167772160 bytes (168 MB, 160 MiB) copied, 17 s, 10.1 MB/s
176160768 bytes (176 MB, 168 MiB) copied, 18 s, 9.9 MB/s 
184549376 bytes (185 MB, 176 MiB) copied, 19 s, 9.9 MB/s
192937984 bytes (193 MB, 184 MiB) copied, 19 s, 9.9 MB/s
201326592 bytes (201 MB, 192 MiB) copied, 20 s, 9.9 MB/s
209715200 bytes (210 MB, 200 MiB) copied, 21 s, 10.0 MB/s
218103808 bytes (218 MB, 208 MiB) copied, 22 s, 9.8 MB/s 
226492416 bytes (226 MB, 216 MiB) copied, 23 s, 9.8 MB/s
243269632 bytes (243 MB, 232 MiB) copied, 25 s, 9.7 MB/s
251658240 bytes (252 MB, 240 MiB) copied, 26 s, 9.7 MB/s
260046848 bytes (260 MB, 248 MiB) copied, 27 s, 9.6 MB/s
268435456 bytes (268 MB, 256 MiB) copied, 28 s, 9.6 MB/s
276824064 bytes (277 MB, 264 MiB) copied, 29 s, 9.5 MB/s
285212672 bytes (285 MB, 272 MiB) copied, 30 s, 9.4 MB/s
